name	repo	sha	build	tasks	jdk	status	notes
context-propagation	micrometer-metrics/context-propagation	6a9d15dcd0b6b491ad6d4f6ef809a722056029e0	gradle	:context-propagation:compileJava	25	smoke	15 main files, 2 @NullMarked packages, 0 NullAway suppressions; NullAway 0.14.1 JSpecifyMode+OnlyNullMarked
reactor-pool	reactor/reactor-pool	6d40ec6e904fa6048709eefeef6858d48063e735	gradle	compileJava	25	verified	27 main files, 4 @NullMarked packages, 2 NullAway suppressions; depends on reactor-core 3.8.8-SNAPSHOT; pins a JDK 21 toolchain
caffeine	ben-manes/caffeine	3afc2ec8a7ecffd53bbb418cdaef295fd5f6b93a	gradle	:caffeine:compileJava	25	untried	only JSpecifyExperimental NullAway baseline; 32 NullAway suppressions; heavy build
micrometer	micrometer-metrics/micrometer	8a69589a69e969f4109eae87b5737afe18f269e0	gradle	compileJava	25	untried	791 main files, 107 @NullMarked packages, 87 NullAway suppressions
junit-framework	junit-team/junit-framework	2e63847c82b82e4a9297079c48908ffacb9b7554	gradle	compileJava	25	untried	in NullAway's own compile-other-projects matrix
reactor-core	reactor/reactor-core	3775d11fe93ed55b75eb4ec802ddd1941322c6f0	gradle	:reactor-core:compileJava	25	untried	144k LOC, dense generics; NullAway 0.13.7
spring-framework	spring-projects/spring-framework	6504e756695dc96ce2353bceccc527253832e6d9	gradle	compileJava	25	untried	~356 @NullMarked packages; in NullAway's matrix
spring-grpc	spring-projects/spring-grpc	9be1169c729dea35ad264d223218b9bcf44a18f0	maven	compile	25	unsupported	needs a Maven injection path
guava	google/guava	b30262d1bca73a10ca5095cfff41b201a47c1bdd	maven	compile	25	unsupported	upstream Guava is @NullMarked; eisop/guava is not (CF-annotated fork)
